USW00014732,"LA GUARDIA AIRPORT, NY US",9/14/2017,8.28
USW00014732,"LA GUARDIA AIRPORT, NY US",9/15/2017,6.49
USW00014732,"LA GUARDIA AIRPORT, NY US",9/16/2017,6.49
USW00014732,"LA GUARDIA AIRPORT, NY US",9/17/2017,6.49
USW00014732,"LA GUARDIA AIRPORT, NY US",9/18/2017,11.41
USW00014732,"LA GUARDIA AIRPORT, NY US",9/19/2017,16.33
USW00014732,"LA GUARDIA AIRPORT, NY US",9/20/2017,14.09
USW00014732,"LA GUARDIA AIRPORT, NY US",9/21/2017,11.41
USW00014732,"LA GUARDIA AIRPORT, NY US",9/22/2017,13.65
USW00014732,"LA GUARDIA AIRPORT, NY US",9/23/2017,9.62
USW00014732,"LA GUARDIA AIRPORT, NY US",9/24/2017,4.47
USW00014732,"LA GUARDIA AIRPORT, NY US",9/25/2017,6.49
USW00014732,"LA GUARDIA AIRPORT, NY US",9/26/2017,6.49
USW00014732,"LA GUARDIA AIRPORT, NY US",9/27/2017,8.72
USW00014732,"LA GUARDIA AIRPORT, NY US",9/28/2017,16.11
USW00014732,"LA GUARDIA AIRPORT, NY US",9/29/2017,6.49
USW00014732,"LA GUARDIA AIRPORT, NY US",9/30/2017,12.75
USW00014732,"LA GUARDIA AIRPORT, NY US",10/1/2017,6.49
USW00014732,"LA GUARDIA AIRPORT, NY US",10/2/2017,5.14
USW00014732,"LA GUARDIA AIRPORT, NY US",10/3/2017,6.26
USW00014732,"LA GUARDIA AIRPORT, NY US",10/4/2017,9.84
USW00014732,"LA GUARDIA AIRPORT, NY US",10/5/2017,10.29
USW00014732,"LA GUARDIA AIRPORT, NY US",10/6/2017,6.26
USW00014732,"LA GUARDIA AIRPORT, NY US",10/7/2017,9.62
USW00014732,"LA GUARDIA AIRPORT, NY US",10/8/2017,9.17
USW00014732,"LA GUARDIA AIRPORT, NY US",10/9/2017,10.96
USW00014732,"LA GUARDIA AIRPORT, NY US",10/10/2017,8.05
USW00014732,"LA GUARDIA AIRPORT, NY US",10/11/2017,10.07
USW00014732,"LA GUARDIA AIRPORT, NY US",10/12/2017,16.78
USW00014732,"LA GUARDIA AIRPORT, NY US",10/13/2017,11.41
USW00014732,"LA GUARDIA AIRPORT, NY US",10/14/2017,6.04
USW00014732,"LA GUARDIA AIRPORT, NY US",10/15/2017,10.07
USW00014732,"LA GUARDIA AIRPORT, NY US",10/16/2017,17
USW00014732,"LA GUARDIA AIRPORT, NY US",10/17/2017,8.28
USW00014732,"LA GUARDIA AIRPORT, NY US",10/18/2017,6.49
USW00014732,"LA GUARDIA AIRPORT, NY US",10/19/2017,9.84
USW00014732,"LA GUARDIA AIRPORT, NY US",10/20/2017,10.74
USW00014732,"LA GUARDIA AIRPORT, NY US",10/21/2017,4.92
USW00014732,"LA GUARDIA AIRPORT, NY US",10/22/2017,5.14
USW00014732,"LA GUARDIA AIRPORT, NY US",10/23/2017,10.96
USW00014732,"LA GUARDIA AIRPORT, NY US",10/24/2017,18.12
USW00014732,"LA GUARDIA AIRPORT, NY US",10/25/2017,6.71
USW00014732,"LA GUARDIA AIRPORT, NY US",10/26/2017,13.42
USW00014732,"LA GUARDIA AIRPORT, NY US",10/27/2017,8.05
USW00014732,"LA GUARDIA AIRPORT, NY US",10/28/2017,10.96
USW00014732,"LA GUARDIA AIRPORT, NY US",10/29/2017,15.21
USW00014732,"LA GUARDIA AIRPORT, NY US",10/30/2017,16.33
USW00014732,"LA GUARDIA AIRPORT, NY US",10/31/2017,14.99
USW00014732,"LA GUARDIA AIRPORT, NY US",11/1/2017,7.16
USW00014732,"LA GUARDIA AIRPORT, NY US",11/2/2017,8.05
USW00014732,"LA GUARDIA AIRPORT, NY US",11/3/2017,11.41
USW00014732,"LA GUARDIA AIRPORT, NY US",11/4/2017,9.84
USW00014732,"LA GUARDIA AIRPORT, NY US",11/5/2017,7.83
USW00014732,"LA GUARDIA AIRPORT, NY US",11/6/2017,11.18
USW00014732,"LA GUARDIA AIRPORT, NY US",11/7/2017,11.18
USW00014732,"LA GUARDIA AIRPORT, NY US",11/8/2017,9.62
USW00014732,"LA GUARDIA AIRPORT, NY US",11/9/2017,8.05
USW00014732,"LA GUARDIA AIRPORT, NY US",11/10/2017,20.13
USW00014732,"LA GUARDIA AIRPORT, NY US",11/11/2017,9.62
USW00014732,"LA GUARDIA AIRPORT, NY US",11/12/2017,4.7
USW00014732,"LA GUARDIA AIRPORT, NY US",11/13/2017,8.5
USW00014732,"LA GUARDIA AIRPORT, NY US",11/14/2017,9.62
USW00014732,"LA GUARDIA AIRPORT, NY US",11/15/2017,8.72
USW00014732,"LA GUARDIA AIRPORT, NY US",11/16/2017,12.97
USW00014732,"LA GUARDIA AIRPORT, NY US",11/17/2017,18.57
USW00014732,"LA GUARDIA AIRPORT, NY US",11/18/2017,6.93
USW00014732,"LA GUARDIA AIRPORT, NY US",11/19/2017,19.91
USW00014732,"LA GUARDIA AIRPORT, NY US",11/20/2017,14.76
USW00014732,"LA GUARDIA AIRPORT, NY US",11/21/2017,11.63
USW00014732,"LA GUARDIA AIRPORT, NY US",11/22/2017,12.75
USW00014732,"LA GUARDIA AIRPORT, NY US",11/23/2017,9.84
USW00014732,"LA GUARDIA AIRPORT, NY US",11/24/2017,6.49
USW00014732,"LA GUARDIA AIRPORT, NY US",11/25/2017,8.72
USW00014732,"LA GUARDIA AIRPORT, NY US",11/26/2017,15.43
USW00014732,"LA GUARDIA AIRPORT, NY US",11/27/2017,13.87
USW00014732,"LA GUARDIA AIRPORT, NY US",11/28/2017,9.62
USW00014732,"LA GUARDIA AIRPORT, NY US",11/29/2017,12.08
USW00014732,"LA GUARDIA AIRPORT, NY US",11/30/2017,7.83
USW00014732,"LA GUARDIA AIRPORT, NY US",12/1/2017,10.74
